   Step          Temp          Press          Volume         PotEng         KinEng         TotEng        Enthalpy   
    230000   6585.5212      777007.98      8000          -1961.9223      673.33513     -1288.5872      2591.175     
    231000   6772.7194      767567.81      8000          -1987.172       692.47517     -1294.6968      2537.9287    
    232000   6812.4464      762772.07      8000          -1997.3128      696.53705     -1300.7757      2507.9036    
    233000   6534.149       768564.9       8000          -1974.8969      668.08259     -1306.8143      2530.7898    
    234000   6643.9583      765205.84      8000          -1992.1315      679.31002     -1312.8215      2508.0102    
    235000   6608.4587      763341.15      8000          -1994.5123      675.68037     -1318.8319      2492.689     
    236000   6551.3552      763522.86      8000          -1994.5833      669.84183     -1324.7415      2487.6867    
    237000   6616.1178      756871.18      8000          -2007.1094      676.46348     -1330.6459      2448.5691    
    238000   6488.7141      755683.4       8000          -1999.8495      663.43711     -1336.4124      2436.8718    
    239000   6347.6852      760588.1       8000          -1991.2545      649.01765     -1342.2369      2455.5375    
    240000   6451.0667      751936.14      8000          -2007.5401      659.58787     -1347.9522      2406.6211    
    241000   6329.5924      755355.8       8000          -2000.773       647.16775     -1353.6053      2418.0431    
    242000   6425.6855      750264.64      8000          -2016.2697      656.99277     -1359.277       2386.9502    
    243000   6341.2552      750065.82      8000          -2013.1734      648.36021     -1364.8131      2380.4212    
    244000   6144.5799      752112.63      8000          -1998.6257      628.25118     -1370.3745      2385.0801    
    245000   6280.8435      746465.09      8000          -2018.1116      642.18343     -1375.9282      2351.327     
    246000   6308.7191      743275.2       8000          -2026.4659      645.03356     -1381.4324      2329.8951    
    247000   5991.5813      752698.28      8000          -1999.5035      612.60788     -1386.8956      2371.4832    
    248000   6095.6206      746538.43      8000          -2015.5986      623.24536     -1392.3533      2335.2681    
    249000   6385.3604      732644.83      8000          -2050.6597      652.86973     -1397.79        2260.4578    
    250000   5961.2657      745351.33      8000          -2012.6589      609.50827     -1403.1507      2318.5433    
    251000   6007.7827      741288.74      8000          -2022.7368      614.26439     -1408.4724      2292.9362    
    252000   5997.0364      738143.36      8000          -2026.9369      613.16563     -1413.7713      2271.9318    
    253000   6161.1123      729924.09      8000          -2048.9439      629.94154     -1419.0024      2225.6602    
    254000   6021.7406      734691.98      8000          -2039.9136      615.69151     -1424.2221      2244.2475    
    255000   6003.706       729092.27      8000          -2043.1936      613.84757     -1429.346       2211.1631    
    256000   5878.1926      733078.31      8000          -2035.5298      601.01448     -1434.5153      2225.897     
    257000   5876.2594      729417.84      8000          -2040.3852      600.81682     -1439.5683      2202.5664    
    258000   5878.8898      728160.72      8000          -2045.7236      601.08576     -1444.6378      2191.2199    
    259000   5717.4957      730944.61      8000          -2034.1816      584.58406     -1449.5976      2200.1607    
    260000   5897.1735      725741.39      8000          -2057.5442      602.95518     -1454.589       2169.1885    
    261000   6009.8968      716095.67      8000          -2074.061       614.48054     -1459.5804      2116.034     
    262000   5867.0077      721561.88      8000          -2064.3291      599.87088     -1464.4582      2138.4501    
    263000   5676.5948      725881.31      8000          -2049.7043      580.40216     -1469.3021      2155.174     
    264000   5638.7871      719006.81      8000          -2050.6523      576.53652     -1474.1158      2116.0346    
    265000   5498.1829      726871.99      8000          -2041.0696      562.16047     -1478.9091      2150.5137    
    266000   5814.5787      713686.21      8000          -2078.1995      594.51029     -1483.6892      2079.8943    
    267000   5681.2989      715316.36      8000          -2069.3193      580.88312     -1488.4362      2083.287     
    268000   5617.8577      718101.09      8000          -2067.5282      574.39659     -1493.1316      2092.4962    
    269000   5649.6647      712885.9       8000          -2075.4368      577.6487      -1497.7881      2061.7993    
    270000   5588.4571      712005.8       8000          -2073.8373      571.39054     -1502.4468      2052.7461    
    271000   5603.3706      709096.53      8000          -2079.9549      572.91536     -1507.0396      2033.6266    
    272000   5680.6387      708377.75      8000          -2092.4682      580.81562     -1511.6526      2025.4246    
    273000   5256.9361      717408.2       8000          -2053.6933      537.49425     -1516.199       2065.9692    
    274000   5397.9117      707833.14      8000          -2072.5827      551.90826     -1520.6744      2013.6835    
    275000   5368.9353      712759.31      8000          -2074.1387      548.94558     -1525.1931      2033.7621    
    276000   5477.2166      702832.45      8000          -2089.6816      560.01677     -1529.6649      1979.7235    
