   Step          Temp          Press          Volume         PotEng         KinEng         TotEng        Enthalpy   
    256000   3002.6956     -7268.0833      12419.207     -2900.6737      334.95521     -2565.7184     -2622.0567    
    257000   2955.1105     -46.162309      12419.207     -2882.6965      329.64703     -2553.0494     -2553.4073    
    258000   2896.758       2265.419       12419.207     -2874.9062      323.13771     -2551.7685     -2534.2082    
    259000   2839.2059      1430.338       12419.207     -2877.7759      316.71769     -2561.0582     -2549.971     
    260000   3073.8625      629.1621       12419.207     -2886.6772      342.89399     -2543.7833     -2538.9063    
    261000   2865.3397      1599.2715      12419.207     -2879.7757      319.63295     -2560.1427     -2547.746     
    262000   2898.6873      3028.3556      12419.207     -2877.3449      323.35293     -2553.992      -2530.5178    
    263000   2897.6591      3715.6944      12419.207     -2875.8475      323.23823     -2552.6092     -2523.8072    
    264000   3097.0191      432.62868      12419.207     -2887.7072      345.47714     -2542.2301     -2538.8766    
    265000   2954.9041     -4395.8598      12419.207     -2895.3575      329.624       -2565.7335     -2599.8079    
    266000   3079.7339      7934.0784      12419.207     -2867.3942      343.54896     -2523.8453     -2462.3446    
    267000   3237.4573     -59.174082      12419.207     -2889.1168      361.14324     -2527.9736     -2528.4323    
    268000   3064.4543     -4800.854       12419.207     -2890.9907      341.84449     -2549.1462     -2586.3598    
    269000   2893.1374     -461.14175      12419.207     -2878.8106      322.73383     -2556.0768     -2559.6513    
    270000   2873.6205      4929.1626      12419.207     -2875.28        320.55669     -2554.7233     -2516.5151    
    271000   2918.4247     -4379.9951      12419.207     -2894.9453      325.55466     -2569.3906     -2603.342     
    272000   3100.8124     -2277.8333      12419.207     -2896.57        345.90029     -2550.6697     -2568.3262    
    273000   3145.9443     -2254.9676      12419.207     -2893.9961      350.93482     -2543.0613     -2560.5406    
    274000   2990.7602     -149.55797      12419.207     -2881.7287      333.6238      -2548.1049     -2549.2642    
    275000   2926.6717     -2165.4584      12419.207     -2883.101       326.47464     -2556.6264     -2573.4118    
    276000   3185.2569     -408.46837      12419.207     -2889.7598      355.3202      -2534.4396     -2537.6058    
    277000   3097.4618     -2289.5489      12419.207     -2895.435       345.52653     -2549.9084     -2567.6558    
    278000   3191.8494      224.04569      12419.207     -2891.1353      356.05561     -2535.0797     -2533.343     
    279000   3201.0336      155.42761      12419.207     -2889.3877      357.08011     -2532.3076     -2531.1028    
    280000   3024.7893      4583.8257      12419.207     -2874.0458      337.4198      -2536.626      -2501.0946    
    281000   3066.8882     -3927.7638      12419.207     -2894.3989      342.116       -2552.2829     -2582.7288    
    282000   2896.6487     -8034.3034      12419.207     -2900.0836      323.12552     -2576.9581     -2639.2357    
    283000   2874.1658     -1858.2621      12419.207     -2888.3679      320.61753     -2567.7504     -2582.1547    
    284000   2854.446       1295.3231      12419.207     -2879.9557      318.41774     -2561.5379     -2551.4973    
    285000   2975.3209     -3187.7733      12419.207     -2893.8984      331.90152     -2561.9969     -2586.7068    
    286000   3121.1171     -375.32382      12419.207     -2887.2165      348.16531     -2539.0512     -2541.9605    
